source,soil_id,LR,exch_ac,ECEC,Ac_sat,pH,OM,clay,cec7
Goncalves2019,RQo1,0,0.826666667,2.793314807,29.59446835,4.794369214,2.187262695,NA,5.653296282
Goncalves2019,RQo1,0.54,0.305879956,2.688994728,11.37525311,5.48757144,2.187262695,NA,5.653296282
Goncalves2019,RQo1,0.84,0.230253926,2.856298728,8.061269069,5.58077904,2.187262695,NA,5.653296282
Goncalves2019,RQo1,0.86,0.225935311,2.867362728,7.879551101,5.58685464,2.187262695,NA,5.653296282
Goncalves2019,RQo1,1.24,0.157669761,3.075450728,5.126720438,5.69900784,2.187262695,NA,5.653296282
Goncalves2019,RQo1,1.8,0.0927911,3.374737128,2.749580073,5.852916,2.187262695,NA,5.653296282
Goncalves2019,RQo1,2.7,0.039579873,3.837337128,1.031441113,6.071886,2.187262695,NA,5.653296282
Goncalves2019,RQo1,4.24,0,4.576290728,0,6.36540384,2.187262695,NA,5.653296282
Goncalves2019,RQo2,0,0.466666667,0.50193463,92.9735943,5.017687358,0.377902708,NA,1.710535927
Goncalves2019,RQo2,0.6,0.062641057,0.735325201,8.518823609,5.834004,0.377902708,NA,1.710535927
Goncalves2019,RQo2,0.7,0.04852169,0.783316201,6.194393829,5.936031,0.377902708,NA,1.710535927
Goncalves2019,RQo2,0.82,0.035713148,0.839947081,4.251833144,6.05080476,0.377902708,NA,1.710535927
Goncalves2019,RQo2,1.18,0.014239829,1.003567081,1.418921528,6.34499676,0.377902708,NA,1.710535927
Goncalves2019,RQo2,1.96,0,1.325799121,0,6.72445584,0.377902708,NA,1.710535927
Goncalves2019,RQo2,1.98,0,1.333480681,0,6.72954396,0.377902708,NA,1.710535927
Ananthacumaraswamy1991,A,0,4.2,6.7,62.68656716,NA,NA,NA,19
Ananthacumaraswamy1991,A,5.0259,0.987875078,7.568071527,13.05319426,NA,NA,NA,19
Ananthacumaraswamy1991,A,10.0518,0.306904055,11.83193349,2.59386224,NA,NA,NA,19
Ananthacumaraswamy1991,A,15.23,0.323633053,12.80282104,2.527826107,NA,NA,NA,19
Ananthacumaraswamy1991,E,0,3.3,6.3,52.38095238,NA,NA,NA,12
Ananthacumaraswamy1991,E,1,2.611103087,6.997441398,37.31511189,NA,NA,NA,12
Ananthacumaraswamy1991,E,2,1.488388357,7.094565904,20.97927311,NA,NA,NA,12
Ananthacumaraswamy1991,E,3,0.811287049,7.800882501,10.39993935,NA,NA,NA,12
Ananthacumaraswamy1991,E,4,0.24261682,7.800010488,3.110467864,NA,NA,NA,12
Ananthacumaraswamy1991,BC,0,8.2,9.1,90.10989011,NA,NA,NA,21
Ananthacumaraswamy1991,BC,7.095,3.173941449,9.815218081,32.33694272,NA,NA,NA,21
Ananthacumaraswamy1991,BC,14.19,0.363490455,14.00595566,2.595256359,NA,NA,NA,21
Ananthacumaraswamy1991,BC,21.5,0.35191082,22.52646016,1.562210917,NA,NA,NA,21
